candidate_number,split,candidate_group,video_id,video_path,rep_index,start_frame,bottom_frame,end_frame,ranking_score,clip_path,review_label,review_confidence,review_notes,rep_row_count,camera_shoulder_median,camera_hip_median
1,train,high,36821_3,/Users/josephkamil/Desktop/Capstone/videos/videos/36821_3.mp4,0,6,54,114,60.89074878692627,ml/analysis_quality/fitness_aqa_squat/forward_lean_review/batch_01/01_train_high_36821_3_rep0.mp4,excessive_forward_lean,medium,Strong torso inclination persists through bottom and early ascent.,,,
2,train,high,47794_1,/Users/josephkamil/Desktop/Capstone/videos/videos/47794_1.mp4,0,6,42,126,60.542640686035156,ml/analysis_quality/fitness_aqa_squat/forward_lean_review/batch_01/02_train_high_47794_1_rep0.mp4,excessive_forward_lean,high,Clear forward collapse and pronounced inclination during ascent.,,,
3,train,high,46570_1,/Users/josephkamil/Desktop/Capstone/videos/videos/46570_1.mp4,0,0,54,126,60.11243839263916,ml/analysis_quality/fitness_aqa_squat/forward_lean_review/batch_01/03_train_high_46570_1_rep0.mp4,unusable,high,Rear view does not support sagittal forward-lean assessment.,,,
4,train,high,47054_1,/Users/josephkamil/Desktop/Capstone/videos/videos/47054_1.mp4,0,0,48,138,59.54906759262085,ml/analysis_quality/fitness_aqa_squat/forward_lean_review/batch_01/04_train_high_47054_1_rep0.mp4,clear,medium,Torso angle appears controlled and stable through the repetition.,,,
5,train,high,47351_5,/Users/josephkamil/Desktop/Capstone/videos/videos/47351_5.mp4,0,0,48,102,52.10050716400146,ml/analysis_quality/fitness_aqa_squat/forward_lean_review/batch_01/05_train_high_47351_5_rep0.mp4,unusable,high,Equipment and framing obscure torso and hip movement.,,,
6,train,high,49000_8,/Users/josephkamil/Desktop/Capstone/videos/videos/49000_8.mp4,0,0,36,90,44.59805936813355,ml/analysis_quality/fitness_aqa_squat/forward_lean_review/batch_01/06_train_high_49000_8_rep0.mp4,excessive_forward_lean,medium,Heavy torso inclination remains present during ascent.,,,
7,train,high,33096_3,/Users/josephkamil/Desktop/Capstone/videos/videos/33096_3.mp4,0,12,48,84,44.11166162490844,ml/analysis_quality/fitness_aqa_squat/forward_lean_review/batch_01/07_train_high_33096_3_rep0.mp4,excessive_forward_lean,high,Strong forward inclination and apparent chest drop during ascent.,,,
8,train,high,48859_3,/Users/josephkamil/Desktop/Capstone/videos/videos/48859_3.mp4,0,54,132,336,41.01528735160828,ml/analysis_quality/fitness_aqa_squat/forward_lean_review/batch_01/08_train_high_48859_3_rep0.mp4,uncertain,medium,"Possible excessive lean, but distant framing and long interval limit confidence.",,,
9,train,high,46480_4,/Users/josephkamil/Desktop/Capstone/videos/videos/46480_4.mp4,0,0,30,60,40.190824890136724,ml/analysis_quality/fitness_aqa_squat/forward_lean_review/batch_01/09_train_high_46480_4_rep0.mp4,unusable,high,Rear-quarter view is insufficient for reliable sagittal assessment.,,,
10,train,high,47523_1,/Users/josephkamil/Desktop/Capstone/videos/videos/47523_1.mp4,0,0,36,90,38.73344016075134,ml/analysis_quality/fitness_aqa_squat/forward_lean_review/batch_01/10_train_high_47523_1_rep0.mp4,excessive_forward_lean,high,Pronounced forward torso position through the sticking region.,,,
